Id,Nome,Biblioteca de formas,ID da p´ágina,Contido por,Grupo,Origem da linha,Destino da linha,Seta de origem,Seta de destino,Área de texto 1
1,Página,,,,,,,,,Página 1
2,Fonte de Voltagem,Diagrama de Circuitos,1,,,,,,,12 V
3,Texto,Padrão,1,,,,,,,Sensor capacitivo
4,Texto,Padrão,1,,,,,,,Sensor indutivo
5,Texto,Padrão,1,,,,,,,Sensor capacitivo
6,Diodo,Diagrama de Circuitos,1,,,,,,,
7,Diodo,Diagrama de Circuitos,1,,,,,,,
8,Diodo,Diagrama de Circuitos,1,,,,,,,
9,Resistência,Diagrama de Circuitos,1,,,,,,,"R 1,32 MΩ"
10,Resistência,Diagrama de Circuitos,1,,,,,,,"R 1,32 MΩ"
11,Resistência,Diagrama de Circuitos,1,,,,,,,"R 1,32 MΩ"
12,Texto,Padrão,1,,,,,,,Microcontrolador
13,Texto,Padrão,1,,,,,,,Display
14,Texto,Padrão,1,,,,,,,Sensor ultrassônico
15,Linha,,1,,,2,3,None,None,
16,Linha,,1,,,2,3,None,None,
17,Linha,,1,,,4,2,None,None,
18,Linha,,1,,,5,2,None,None,
19,Linha,,1,,,5,2,None,None,
20,Linha,,1,,,4,2,None,None,
21,Linha,,1,,,4,6,None,None,Saída 12V
22,Linha,,1,,,5,7,None,None,Saída 12V
23,Linha,,1,,,3,8,None,None,Saída 12V
24,Linha,,1,,,8,11,None,None,
25,Linha,,1,,,8,33,None,None,
26,Linha,,1,,,6,33,None,None,
27,Linha,,1,,,7,9,None,None,
28,Linha,,1,,,6,10,None,None,
29,Linha,,1,,,7,33,None,None,
30,Linha,,1,,,8,15,None,None,
31,Linha,,1,,,7,20,None,None,
32,Linha,,1,,,6,20,None,None,
33,Linha,,1,,,13,12,None,None,GND
34,Linha,,1,,,12,13,None,None,VCC
35,Linha,,1,,,14,26,None,None,
36,Linha,,1,,,14,12,None,None,VCC
37,Linha,,1,,,14,12,None,None,Trigger
38,Linha,,1,,,14,12,None,None,Echo
39,Linha,,1,,,10,12,None,None,Saída 5V
40,Linha,,1,,,9,12,None,None,Saída 5V
41,Linha,,1,,,11,12,None,None,Saída 5V
42,Linha,,1,,,12,13,None,None,SCL
43,Linha,,1,,,13,12,None,None,SDA
