Id,Nome,Biblioteca de formas,ID da p´ágina,Contido por,Grupo,Origem da linha,Destino da linha,Seta de origem,Seta de destino,Área de texto 1
1,Página,,,,,,,,,Página 1
2,Exterminador,Formas de Fluxograma,1,,,,,,,Início
3,Exterminador,Formas de Fluxograma,1,,,,,,,Fim
4,Decisão,Formas de Fluxograma,1,,,,,,,Decisão
5,Dados (I/O),Formas de Fluxograma,1,,,,,,,Leitura do sensor capacitivo A
6,Decisão,Formas de Fluxograma,1,,,,,,,Decisão
7,Dados (I/O),Formas de Fluxograma,1,,,,,,,Leitura do sensor capacitivo B
8,Decisão,Formas de Fluxograma,1,,,,,,,Decisão
9,Dados (I/O),Formas de Fluxograma,1,,,,,,,Leitura do sensor indutivo
10,Dados (I/O),Formas de Fluxograma,1,,,,,,,Leitura do sensor indutivo
11,Decisão,Formas de Fluxograma,1,,,,,,,Objeto passou em frente
12,Decisão,Formas de Fluxograma,1,,,,,,,Compara os estados
13,Processo,Formas de Fluxograma,1,,,,,,,Aciona atuador do servo para o compartimento 1
14,Processo,Formas de Fluxograma,1,,,,,,,Aciona atuador do servo para o compartimento 3
15,Processo,Formas de Fluxograma,1,,,,,,,Aciona atuador do servo para o compartimento 2 
16,Processo,Formas de Fluxograma,1,,,,,,,Aciona atuador do servo para o compartimento 4
17,Dados (I/O),Formas de Fluxograma,1,,,,,,,Imprime no display: Metal
18,Dados Armazenados,Formas de Fluxograma,1,,,,,,,Armazena o estado
19,Dados Armazenados,Formas de Fluxograma,1,,,,,,,Armazena o estado
20,Dados Armazenados,Formas de Fluxograma,1,,,,,,,Armazena o estado
21,Dados Armazenados,Formas de Fluxograma,1,,,,,,,Armazena o estado
22,Dados (I/O),Formas de Fluxograma,1,,,,,,,Mostra o material detectado no Vidro
23,Dados (I/O),Formas de Fluxograma,1,,,,,,,Mostra o material detectado no Papel
24,Dados (I/O),Formas de Fluxograma,1,,,,,,,Mostra o material detectado no Plástico
25,Processo,Formas de Fluxograma,1,,,,,,,Redefinir todos os valores de estado
26,Processo,Formas de Fluxograma,1,,,,,,,Limpar a tela do display
27,Processo,Formas de Fluxograma,1,,,,,,,Acionar atuadores para sua posição inicial
28,Linha,,1,,,5,4,None,Arrow,
29,Linha,,1,,,4,18,None,None,Verdadeiro
30,Linha,,1,,,7,6,None,Arrow,
31,Linha,,1,,,6,20,None,None,Verdadeiro
32,Linha,,1,,,4,7,None,Arrow,Falso
33,Linha,,1,,,18,7,None,Arrow,
34,Linha,,1,,,9,8,None,Arrow,
35,Linha,,1,,,6,9,None,Arrow,Falso
36,Linha,,1,,,20,9,None,Arrow,
37,Linha,,1,,,8,21,None,None,Verdadeiro
38,Linha,,1,,,8,10,None,Arrow,Falso
39,Linha,,1,,,10,11,None,Arrow,
40,Linha,,1,,,11,5,None,Arrow,Falso
41,Linha,,1,,,11,12,None,Arrow,Verdadeiro
42,Linha,,1,,,12,13,None,Arrow,1 estado ativo
43,Linha,,1,,,12,15,None,Arrow,2 estados ativos
44,Linha,,1,,,12,14,None,Arrow,3 estados ativos
45,Linha,,1,,,12,16,None,Arrow,Nenhum estado ativo
46,Linha,,1,,,21,10,None,Arrow,
47,Linha,,1,,,13,17,None,Arrow,
48,Linha,,1,,,15,22,None,Arrow,
49,Linha,,1,,,14,23,None,Arrow,
50,Linha,,1,,,16,24,None,Arrow,
51,Linha,,1,,,17,25,None,Arrow,
52,Linha,,1,,,22,25,None,Arrow,
53,Linha,,1,,,23,25,None,Arrow,
54,Linha,,1,,,24,25,None,Arrow,
55,Linha,,1,,,25,26,None,Arrow,
56,Linha,,1,,,26,27,None,Arrow,
57,Linha,,1,,,27,3,None,Arrow,
58,Linha,,1,,,2,5,None,Arrow,
